rank	year	conference	total_number
1	2015	AAAI	673	
2	2015	IJCAI	666	
3	2016	AAAI	664	
4	2016	IJCAI	621	
5	2014	CVPR	550	
6	2007	CVPR	533	
7	2015	ICCV	527	
8	2008	CVPR	504	
9	2014	AAAI	474	
10	2013	CVPR	464	
11	2013	IJCAI	462	
12	2007	IJCAI	462	
13	2012	CVPR	461	
14	2010	CVPR	458	
15	2011	IJCAI	458	
16	2013	ICCV	441	
17	2011	CVPR	435	
18	2014	NIPS	414	
19	2016	ECCV	401	
20	2007	ICCV	388	
21	2009	CVPR	383	
22	2016	ACL	378	
23	2006	AAAI	374	
24	2007	AAAI	361	
25	2008	AAAI	348	
26	2012	NIPS	346	
27	2015	ICML	344	
28	2012	AAAI	338	
29	2013	ACL	338	
30	2005	IJCAI	337	
31	2011	ICCV	335	
32	2009	IJCAI	324	
33	2006	ACL	322	
34	2013	NIPS	316	
35	2014	ICML	313	
36	2005	AAAI	312	
37	2009	ICCV	308	
38	2011	AAAI	306	
39	2014	ACL	305	
40	2010	AAAI	304	
41	1994	AAAI	288	
42	2010	NIPS	285	
43	2003	IJCAI	281	
44	2016	ICML	278	
45	2011	NIPS	275	
46	2016	EMNLP	264	
47	2009	NIPS	263	
48	2014	EMNLP	254	
49	2015	CVPR	250	
50	2016	KDD	250	
51	2008	NIPS	247	
52	2011	SIGIR	246	
53	2005	ICCV	242	
54	2013	ICML	241	
55	2010	WWW	240	
56	2015	International Conference on Machine Learning	238	
57	2013	AAAI	235	
58	2008	WWW	234	
59	1993	IJCAI	231	
60	2016	SIGIR	230	
61	2007	WWW	230	
62	2014	SIGIR	229	
63	2014	KDD	226	
64	2007	NIPS	221	
65	2012	SIGIR	221	
66	2007	SIGIR	220	
67	2016	NIPS	217	
68	2002	NIPS	216	
69	2010	SIGIR	215	
70	2000	CVPR	215	
71	2005	NIPS	211	
72	2004	NIPS	210	
73	2001	NIPS	209	
74	1995	IJCAI	209	
75	2013	SIGIR	209	
76	2008	SIGIR	208	
77	2009	SIGIR	207	
78	2014	Computer Vision and Pattern Recognition	206	
79	2006	WWW	206	
80	2007	ACL	206	
81	2001	ICCV	205	
82	2006	NIPS	203	
83	2012	KDD	202	
84	1999	IJCAI	200	
85	2009	WWW	198	
86	2012	ICML	196	
87	2003	ICCV	196	
88	2001	IJCAI	193	
89	2003	NIPS	193	
90	1999	CVPR	189	
91	1991	IJCAI	188	
92	2013	EMNLP	187	
93	2012	ACL	185	
94	2004	AAAI	184	
95	2013	KDD	179	
96	2009	ICML	179	
97	1993	CVPR	176	
98	2011	ACL	176	
99	1990	AAAI	174	
100	2011	KDD	173	
101	1999	ICCV	168	
102	2011	EMNLP	168	
103	2010	ACL	165	
104	1999	NIPS	165	
105	1997	CVPR	164	
106	1990	NIPS	160	
107	2012	Computer Vision and Pattern Recognition	160	
108	2010	ICML	156	
109	2006	SIGIR	153	
110	2007	ICML	152	
111	1998	NIPS	152	
112	1994	CVPR	152	
113	2008	ICML	151	
114	2011	Computer Vision and Pattern Recognition	150	
115	2000	NIPS	150	
116	2009	EMNLP	150	
117	2009	KDD	149	
118	1995	NIPS	149	
119	2011	ICML	148	
120	1996	NIPS	148	
121	2008	KDD	148	
122	2000	ICML	146	
123	2013	WWW	143	
124	2004	SIGIR	143	
125	1992	NIPS	142	
126	1992	CVPR	142	
127	1991	AAAI	141	
128	1998	CVPR	141	
129	2006	ICML	140	
130	1995	ICCV	138	
131	2010	Computer Vision and Pattern Recognition	138	
132	1998	ICCV	138	
133	2005	SIGIR	135	
134	1993	NIPS	135	
135	2005	ICML	134	
136	1992	AAAI	134	
137	2005	ACL	134	
138	1993	AAAI	132	
139	1997	NIPS	130	
140	1991	NIPS	129	
141	1991	CVPR	128	
142	1994	NIPS	127	
143	2016	WWW	127	
144	1996	CVPR	125	
145	2008	ACL	125	
146	2010	EMNLP	123	
147	2006	KDD	120	
148	2010	KDD	119	
149	2004	ICML	118	
150	2015	WWW	118	
151	2013	Computer Vision and Pattern Recognition	116	
152	2003	ICML	113	
153	1990	ICCV	112	
154	2007	KDD	112	
155	2004	KDD	111	
156	2008	EMNLP	110	
157	2016	CVPR	110	
158	2001	ACL	109	
159	2002	SIGIR	108	
160	2003	SIGIR	105	
161	2005	KDD	105	
162	2012	WWW	104	
163	2003	KDD	99	
164	1992	ECCV	99	
165	2014	WWW	96	
166	2004	ACL	91	
167	2011	WWW	91	
168	1993	ICCV	91	
169	2002	KDD	87	
170	2002	WWW	85	
171	2002	ICML	85	
172	2001	SIGIR	83	
173	2005	WWW	82	
174	1999	ACL	81	
175	2003	WWW	79	
176	1997	IJCAI	79	
177	1999	SIGIR	79	
178	2000	KDD	78	
179	2001	ICML	78	
180	2000	SIGIR	77	
181	1996	KDD	75	
182	1998	SIGIR	75	
183	2003	ACL	74	
184	2004	WWW	74	
185	2001	KDD	73	
186	2000	ACL	73	
187	1990	ECCV	71	
188	1995	ICML	69	
189	2006	EMNLP	68	
190	1996	ICML	68	
191	1998	KDD	67	
192	1999	KDD	65	
193	1994	ECCV	65	
194	1998	ICML	64	
195	1997	KDD	64	
196	2012	ECCV	62	
197	2001	WWW	59	
198	1996	ECCV	59	
199	1991	ACL	58	
200	1999	ICML	56	
