,word,abs_freq,wtd_freq,rel_value,name,group,sub_group
0,🐒,1,2896006.0,2896006.0,monkey,Animals & Nature,animal-mammal
1,😂,535,762943.0,1426.0,face with tears of joy,Smileys & Emotion,face-smiling
2,✔️,136,476351.0,3503.0,check mark,Symbols,other-symbol
3,🤣,177,359634.0,2032.0,rolling on the floor laughing,Smileys & Emotion,face-smiling
4,🇺🇸,48,322516.0,6719.0,flag: United States,Flags,country-flag
5,🏈,80,288040.0,3600.0,american football,Activities,sport
6,🔥,122,232236.0,1904.0,fire,Travel & Places,sky & weather
7,😘,13,199547.0,15350.0,face blowing a kiss,Smileys & Emotion,face-affection
8,👮‍♂️,2,189520.0,94760.0,man police officer,People & Body,person-role
9,😃,13,173217.0,13324.0,grinning face with big eyes,Smileys & Emotion,face-smiling
10,👮‍♀️,1,165309.0,165309.0,woman police officer,People & Body,person-role
11,🤖,3,165183.0,55061.0,robot,Smileys & Emotion,face-costume
12,👍,15,151181.0,10079.0,thumbs up,People & Body,hand-fingers-closed
13,⭐,28,134714.0,4811.0,star,Travel & Places,sky & weather
14,♥️,9,125892.0,13988.0,heart suit,Activities,game
15,✊🏾,42,123119.0,2931.0,raised fist: medium-dark skin tone,People & Body,hand-fingers-closed
16,🤪,5,120962.0,24192.0,zany face,Smileys & Emotion,face-tongue
17,⛪,1,85177.0,85177.0,church,Travel & Places,place-religious
18,🔹,7,79286.0,11327.0,small blue diamond,Symbols,geometric
19,😭,46,70061.0,1523.0,loudly crying face,Smileys & Emotion,face-concerned
20,😶,3,66782.0,22261.0,face without mouth,Smileys & Emotion,face-neutral-skeptical
21,💯,50,62637.0,1253.0,hundred points,Smileys & Emotion,emotion
22,😝,2,58941.0,29470.0,squinting face with tongue,Smileys & Emotion,face-tongue
23,🚨,22,58750.0,2670.0,police car light,Travel & Places,transport-ground
24,👏,29,55444.0,1912.0,clapping hands,People & Body,hands
25,👟,39,53483.0,1371.0,running shoe,Objects,clothing
26,👏🏻,21,48438.0,2307.0,clapping hands: light skin tone,People & Body,hands
27,✅,26,47537.0,1828.0,check mark button,Symbols,other-symbol
28,❤️,69,43847.0,635.0,red heart,Smileys & Emotion,emotion
29,🤔,31,42819.0,1381.0,thinking face,Smileys & Emotion,face-hand
30,🧐,4,38721.0,9680.0,face with monocle,Smileys & Emotion,face-glasses
31,😎,28,38291.0,1368.0,smiling face with sunglasses,Smileys & Emotion,face-glasses
32,👀,37,37159.0,1004.0,eyes,People & Body,body-parts
33,😊,19,35882.0,1889.0,smiling face with smiling eyes,Smileys & Emotion,face-smiling
34,💥,10,35720.0,3572.0,collision,Smileys & Emotion,emotion
35,💙,49,35494.0,724.0,blue heart,Smileys & Emotion,emotion
36,💕,8,34864.0,4358.0,two hearts,Smileys & Emotion,emotion
37,🙏,13,34848.0,2681.0,folded hands,People & Body,hands
38,🙌🏾,20,34376.0,1719.0,raising hands: medium-dark skin tone,People & Body,hands
39,💪🏻,7,34162.0,4880.0,flexed biceps: light skin tone,People & Body,body-parts
40,🌟,13,33414.0,2570.0,glowing star,Travel & Places,sky & weather
41,✊🏿,21,31551.0,1502.0,raised fist: dark skin tone,People & Body,hand-fingers-closed
42,✔,27,29980.0,1110.0,check mark,Symbols,other-symbol
43,🙄,13,28768.0,2213.0,face with rolling eyes,Smileys & Emotion,face-neutral-skeptical
44,👏🏽,26,27010.0,1039.0,clapping hands: medium skin tone,People & Body,hands
45,👨‍🚒,2,26482.0,13241.0,man firefighter,People & Body,person-role
46,😑,3,26226.0,8742.0,expressionless face,Smileys & Emotion,face-neutral-skeptical
47,✊🏽,37,26174.0,707.0,raised fist: medium skin tone,People & Body,hand-fingers-closed
48,👇,13,25956.0,1997.0,backhand index pointing down,People & Body,hand-single-finger
49,🙌,25,25252.0,1010.0,raising hands,People & Body,hands
50,✌🏿,2,24147.0,12074.0,victory hand: dark skin tone,People & Body,hand-fingers-partial
51,🙏🏿,2,24147.0,12074.0,folded hands: dark skin tone,People & Body,hands
52,🎙,16,23998.0,1500.0,studio microphone,Objects,music
53,😩,19,23422.0,1233.0,weary face,Smileys & Emotion,face-concerned
54,🏀,18,22908.0,1273.0,basketball,Activities,sport
55,💨,3,21826.0,7275.0,dashing away,Smileys & Emotion,emotion
56,😍,25,21795.0,872.0,smiling face with heart-eyes,Smileys & Emotion,face-affection
